image_path,true_class,source,is_field_photo,partition,split
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_septoria_leaf_spot\orig_plantdoc_eval_6078710516023296-600x272.jpeg_e666de25.jpg,septoria,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_septoria_leaf_spot\taiwan_Gray_spot_b5d75c3d.jpg,septoria,sacred_split:field_val|tomato_taiwan|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_septoria_leaf_spot\taiwan_Gray_spot_968ae0e7.jpg,septoria,sacred_split:field_val|tomato_taiwan|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_septoria_leaf_spot\taiwan_Gray_spot_649fd0f4.jpg,septoria,sacred_split:field_val|tomato_taiwan|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_yellow_leaf_curl_virus\orig_plantdoc_eval_Figure-4_01a00af8.jpg,ylcv,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_mosaic_virus\orig_tomato_luisolazo_img_mv_1035_fb9e268f.jpg,mosaic,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_mosaic_virus\orig_tomato_luisolazo_img_mv_253_14654425.jpg,mosaic,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\orig_tomato_luisolazo_img_h_1412_069440df.jpg,healthy,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\orig_tomato_luisolazo_img_h_1078_d71295b4.jpg,healthy,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000231.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000019.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000381.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000091.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000433.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000196.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000187.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000202.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000357.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000079.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000301.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000390.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000437.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000358.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000063.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000360.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000483.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000090.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000095.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\src4_bdfield_h_000479.jpg,healthy,sacred_split:field_val|bangladesh_field|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\taiwan_health_f527f90b.jpg,healthy,sacred_split:field_val|tomato_taiwan|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_healthy\taiwan_health_27b10fd1.jpg,healthy,sacred_split:field_val|tomato_taiwan|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\brassica_alternaria\orig_diya_cabbage_IMG_20250227_134558_068c83e7.jpg,OOD,ood_heldout,False,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\brassica_black_rot\orig_mendeley_caul_leaf_IMG (576)_d0314301.jpg,OOD,ood_heldout,False,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\brassica_downy_mildew\balanced_B_aug_9_1d3aa8df.jpg,OOD,ood_heldout,False,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\brassica_healthy\orig_diya_broccoli_IMG_20250309_173141_4bd9e74f.jpg,OOD,ood_heldout,False,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\okra_cercospora\orig_bangladesh_okra_Leaf_spot_disease_of_okra164_d3774426.jpg,OOD,ood_heldout,False,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\okra_enation\orig_bangladesh_okra_Leaf_curl_disease_of_okra061_6d0f3487.jpg,OOD,ood_heldout,False,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\okra_healthy\orig_bangladesh_okra_Fresh_Leaf_of_okra030_13cd88fd.jpg,OOD,ood_heldout,False,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\okra_powdery_mildew\orig_yeesi_GOPR0636_5057db6b.jpg,OOD,ood_heldout,False,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model2\cleaned\okra_yvmv\orig_bangladesh_okra_Yellow_vein_mosaic_virus129_64174331.jpg,OOD,ood_heldout,False,test,test
<synthetic_noise_gaussian_06>,OOD,ood_heldout,False,test,test
<synthetic_noise_gaussian_05>,OOD,ood_heldout,False,test,test
<synthetic_noise_solid_04>,OOD,ood_heldout,False,test,test
<synthetic_noise_solid_06>,OOD,ood_heldout,False,test,test
<synthetic_noise_scrambled_04>,OOD,ood_heldout,False,test,test
